party,filename,subdir,rel_path,assigned_to
Democratic,20221223-assemblymember-connolly-appointed-vice-chair-climate-change-policy.txt,Democratic,Democratic\20221223-assemblymember-connolly-appointed-vice-chair-climate-change-policy.txt,Zack
Democratic,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,Democratic,Democratic\20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,Sai
Democratic,senator-becker-and-assemblymember-berman-host-community-meeting.txt,Democratic,Democratic\senator-becker-and-assemblymember-berman-host-community-meeting.txt,Zack
Democratic,20250317-assemblymember-irwin-introduces-bill-bolster-accounting-workforce.txt,Democratic,Democratic\20250317-assemblymember-irwin-introduces-bill-bolster-accounting-workforce.txt,Sai
Democratic,20220503-assemblymember-arambula-issues-reminder-california-has-launched-expansion.txt,Democratic,Democratic\20220503-assemblymember-arambula-issues-reminder-california-has-launched-expansion.txt,Zack
Democratic,20220928-governor-newsom-signs-ab-2234-creates-efficiency-and-transparency-building.txt,Democratic,Democratic\20220928-governor-newsom-signs-ab-2234-creates-efficiency-and-transparency-building.txt,Sai
Democratic,gilroys-carry-vision-honored-state-senate-district-15s-nonprofit-year.txt,Democratic,Democratic\gilroys-carry-vision-honored-state-senate-district-15s-nonprofit-year.txt,Zack
Democratic,20190424-assemblymember-irwins-bill-create-integrated-education-data-system-passes.txt,Democratic,Democratic\20190424-assemblymember-irwins-bill-create-integrated-education-data-system-passes.txt,Sai
Democratic,20210217-legislators-announce-effort-support-struggling-restaurants-through-more.txt,Democratic,Democratic\20210217-legislators-announce-effort-support-struggling-restaurants-through-more.txt,Zack
Democratic,20200424-assembly-caucus-chair-mike-gipsons-statement-lawsuit-filed-against-governor.txt,Democratic,Democratic\20200424-assembly-caucus-chair-mike-gipsons-statement-lawsuit-filed-against-governor.txt,Sai
Democratic,20250702-first-nation-ban-plastic-microbeads-personal-products-passes-senate.txt,Democratic,Democratic\20250702-first-nation-ban-plastic-microbeads-personal-products-passes-senate.txt,Zack
Democratic,20200220-assemblymember-irwin-introduces-bill-increase-confidentiality-autopsy.txt,Democratic,Democratic\20200220-assemblymember-irwin-introduces-bill-increase-confidentiality-autopsy.txt,Sai
Democratic,20170508-gipson-denounces-trumps-flip-flop-hbcu-funding.txt,Democratic,Democratic\20170508-gipson-denounces-trumps-flip-flop-hbcu-funding.txt,Zack
Democratic,20230223-assemblymember-alvarez-announce-legislation-build-more-affordable-homes.txt,Democratic,Democratic\20230223-assemblymember-alvarez-announce-legislation-build-more-affordable-homes.txt,Sai
Democratic,20180110-quirk-silva-applauds-more-funding-higher-education-and-small-businesses.txt,Democratic,Democratic\20180110-quirk-silva-applauds-more-funding-higher-education-and-small-businesses.txt,Zack
