party,press_release,claim_number,claim_text,claim_desc,category,is_policy_like
Democratic,20241226-new-year-new-laws.txt,1,"AI-driven child sexual exploitation, revenge porn, and AI-generated elections deepfakes are emerging threats.",,,
Democratic,20241226-new-year-new-laws.txt,2,"Assembly Bill 1831 ensures that the sexual exploitation of children in California is illegal, including AI-generated pictures and videos.",,,
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated content can be disturbing, harmful, and virtually indistinguishable from actual children.",,,
Democratic,20241226-new-year-new-laws.txt,4,"Assembly Bill 2655, the Defending Democracy from Deepfake Deception Act, protects election integrity by removing malicious deepfake media.",,,
Democratic,20241226-new-year-new-laws.txt,5,Violent rhetoric and election conspiracy theories have led to threats of intimidation at polling places.,,,
Democratic,20241226-new-year-new-laws.txt,6,The PEACE Act is a first-in-the-nation law protecting voters and election workers by prohibiting guns in polling places.,,,
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,1,"AB 674 improves the Clean Cars 4 All program, which helps lower-income consumers replace older, high-polluting vehicles with cleaner transportation.",,,
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,2,AB 846 will provide a clear process to accelerate and streamline wildfire preparedness and vegetation management.,,,
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,3,AB 384 removes delays to patient care during mental health and substance abuse emergencies by prohibiting health insurance plans from requiring prior authorization during these critical situations.,,,
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,4,"AB 1177 improves CALFire staffing, allowing them to more effectively respond to emergencies.",,,
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,1,The future of humanity depends on thoughtful planning and management of the most advanced artificial intelligence systems.,,,
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,2,There is a need to develop safeguards for humanity in the context of artificial intelligence development.,,,
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,3,The rapid pace at which advanced AI systems like GPT-4 are developing is alarming and unprecedented.,,,
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,4,Recent advances in AI present profound risks to society and humanity.,,,
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,1,California is allowing biological boys to compete in girls' sports.,,,
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,2,Governor Newsom has referred to the situation in girls' sports as 'deeply unfair.',,,
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,3,National polling shows nearly 70% of Americans agree that biological males should not be allowed to compete in girls' events.,,,
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,1,SB 1381 expands the scope of child pornography laws to include material generated using artificial intelligence.,,,
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,2,SB 1381 ensures that AI-generated explicit content involving minors is treated with the seriousness it deserves.,,,
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,3,SB 1831 adds depictions of minors created with artificial intelligence to California’s existing child pornography laws.,,,
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,4,SB 1831 aims to combat the growing threat of AI-generated explicit content involving minors.,,,
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,5,"As AI technology advances, existing laws must evolve to protect children from new forms of exploitation.",,,
