source,year_month,ai_statements
Democratic Assembly,1990-06,4
Democratic Assembly,2017-02,1
Democratic Assembly,2017-09,1
Democratic Assembly,2018-07,2
Democratic Assembly,2019-09,1
Democratic Assembly,2020-03,2
Democratic Assembly,2020-07,1
Democratic Assembly,2020-09,2
Democratic Assembly,2021-01,34
Democratic Assembly,2021-05,1
Democratic Assembly,2021-06,1
Democratic Assembly,2021-08,2
Democratic Assembly,2021-10,1
Democratic Assembly,2022-01,2
Democratic Assembly,2022-07,1
Democratic Assembly,2023-10,5
Democratic Assembly,2024-01,13
Democratic Assembly,2024-05,8
Democratic Assembly,2024-09,1
Democratic Assembly,2024-12,3
Democratic Assembly,2025-01,29
Democratic Assembly,2025-03,15
Democratic Assembly,2025-04,1
Democratic Assembly,2025-06,6
Democratic Assembly,2025-07,1
Democratic Assembly,2025-09,159
Democratic Assembly,2028-07,2
Democratic Assembly,2033-07,1
Republican Assembly,2019-03,1
Republican Assembly,2019-08,1
Republican Assembly,2023-04,5
Republican Assembly,2023-05,7
Republican Assembly,2024-01,1
Republican Assembly,2024-07,1
Republican Assembly,2025-03,2
Republican Assembly,2025-04,2
Republican Assembly,2025-05,1
