source,term,count
Democratic Assembly,fairness,103
Democratic Assembly,ai,68
Democratic Assembly,artificial intelligence,65
Democratic Assembly,bias,63
Democratic Assembly,algorithms,26
Democratic Assembly,generative ai,18
Democratic Assembly,algorithm,14
Democratic Assembly,genai,11
Democratic Assembly,risk assessment,9
Democratic Assembly,automated decision,8
Democratic Assembly,facial recognition,6
Democratic Assembly,automation,5
Democratic Assembly,openai,3
Democratic Assembly,machine learning,2
Democratic Assembly,chatgpt,2
Democratic Assembly,chatbot,2
Democratic Assembly,llm,1
Democratic Assembly,ml,1
Democratic Assembly,gpt-,1
Republican Assembly,fairness,36
Republican Assembly,bias,7
Republican Assembly,ai,4
Republican Assembly,artificial intelligence,4
Republican Assembly,gpt-,1
Republican Assembly,algorithms,1
Republican Assembly,automation,1
