key,year,count
title:how the internet facilitates adverse childhood experiences for youth who self-identify as in need of services,2024,2
doi:10.1007/s10834-020-09721-9,,2
doi:10.3390/educsci9020129,,2
title:quantifying the causal effect of financial literacy courses on financial health,2024,2
doi:10.1145/3442188.3445922,,2
"title:california seizes record 62,000 pounds of fentanyl",2024,2
title:cal guard counterdrug task force seizes more than 9.5 million pills with fentanyl,2024,2
title:california’s fentanyl task force seizes over 8.8 million fentanyl pills,2024,2
title:california seizes more than 5.8 million fentanyl pills since january,2024,2
"title:governor newsom announces seizure of over half a million fentanyl pills at border, urges republicans in congress to act on border security",2024,2
title:governor newsom announces seizure of 8 million fentanyl pills in six months,2024,2
title:fentanyl enforcement surge results in massive increase in seizures and arrests,2023,2
title:shortage of court reporters in california,2025,2
"title:new analysis: california’s abundant natural gas and oil resources provide over $217 billion in economic, trade & job benefits",2023,2
doi:10.1001/jamanetworkopen.2022.34471,,2
doi:10.1109/tdsc.2023.3324275,,2
doi:10.1186/s40163-024-00239-1,,2
doi:10.1007/s11229-022-04012-2,,2
title:newsom misled the public about wildfire prevention efforts ahead of worst fire season on record,2021,2
