party,venue,count
Republican,arXiv,43
Democratic,arXiv,23
Republican,"Trauma, Violence, & Abuse",7
Republican,arXiv preprint,6
Democratic,PNAS,4
Republican,Child Abuse & Neglect,4
Democratic,The International Journal of Press/Politics,3
Democratic,Journal of Computer-Mediated Communication,3
Democratic,Psychiatric Services,3
Republican,Science,3
Republican,Global Policy,3
Republican,JAMA Network Open,3
Republican,Journal of Adolescent Health,3
Republican,Journal of Law and Society,3
Republican,Pediatrics,3
Republican,Laws,3
Republican,European Journal of Criminology,3
Republican,Crime Science,3
Republican,Synthese,3
Democratic,Stanford Internet Observatory (report),2
Democratic,"Trauma, Violence, & Abuse",2
Democratic,Social Media + Society,2
Democratic,European Journal of Communication,2
Democratic,American Political Science Review,2
Democratic,European Political Science,2
Democratic,Nature Communications,2
Democratic,Philosophy & Technology,2
Democratic,New Media & Society,2
Democratic,Child Abuse & Neglect,2
Democratic,Environmental Management,2
Democratic,Nature,2
Democratic,Journal of Environmental Management,2
Republican,Nature Machine Intelligence,2
Republican,Ethics and Information Technology,2
Republican,Journal of Psychoactive Drugs,2
Republican,BMJ,2
Republican,Sexual Abuse,2
Republican,Journal of Adolescence,2
Republican,Journal of Interpersonal Violence,2
Republican,Trends & Issues in Crime and Criminal Justice (Australian Institute of Criminology),2
Republican,FAccT,2
Republican,IEEE Transactions on Dependable and Secure Computing,2
Democratic,Pediatrics,1
Democratic,Trends & Issues in Crime and Criminal Justice,1
Democratic,Crime Science,1
Democratic,The British Journal of Criminology,1
Democratic,Sexuality & Culture,1
Democratic,Machine Vision and Applications,1
Democratic,Scientific Reports,1
Democratic,Electronics,1
Democratic,"Forensische Psychiatrie, Psychologie, Kriminologie",1
Democratic,Journal of Politics,1
Democratic,Digital Society,1
Democratic,iScience,1
Democratic,California Law Review,1
Democratic,Communications Biology,1
Democratic,Philosophers’ Imprint,1
Democratic,Journal of Cybersecurity,1
Democratic,Journal of Imaging,1
Democratic,JAMA Netw Open,1
Democratic,Frontiers in Psychology,1
Democratic,Journal of Adolescence,1
Democratic,ACM Computing Surveys,1
Democratic,ICCV Workshops,1
Democratic,European Child & Adolescent Psychiatry,1
Democratic,PLOS ONE,1
Democratic,CVPR,1
Democratic,ACM TOG (SIGGRAPH),1
Democratic,ICCV,1
Democratic,The Journal of Politics,1
Democratic,NeurIPS,1
Democratic,Annals of Internal Medicine,1
Democratic,Journal of Police Science,1
Democratic,American Politics Journal,1
Democratic,Policing: An International Journal,1
Democratic,Transportation Research Part D: Transport and Environment,1
Democratic,The Journal of Consumer Affairs,1
Democratic,Journal of Neighborhood Sustainability,1
Democratic,Energy Policy,1
Democratic,Climatic Change,1
Democratic,Forest Ecology and Management,1
Democratic,Wiley Interdisciplinary Reviews: Climate Change,1
Democratic,Earth's Future,1
Democratic,Environmental Science & Policy,1
Democratic,JAMA,1
Democratic,BMJ Open,1
Democratic,Mental Health Review Journal,1
Democratic,Administration and Policy in Mental Health and Mental Health Services Research,1
Democratic,Journal of Mental Health Policy and Economics,1
Democratic,International Journal of Health Policy and Management,1
Democratic,Journal of Policy Analysis and Management,1
Democratic,Policy Studies Journal,1
Democratic,Science,1
Democratic,Forest Policy and Economics,1
Democratic,Journal of Forestry,1
Democratic,Journal of Policy Research,1
Republican,ACM FAccT 2021,1
Republican,ACM FAccT Conference Proceedings,1
Republican,International Joint Conference on Neural Networks (IJCNN),1
Republican,Transactions on Machine Learning Research (TMLR); arXiv preprint,1
Republican,"ACM Conference on Fairness, Accountability, and Transparency (FAccT)",1
Republican,Nature,1
Republican,"ACM FAccT (Conference on Fairness, Accountability, and Transparency)",1
Republican,Proceedings of IJCAI 2017,1
Republican,Advances in Neural Information Processing Systems (NeurIPS),1
Republican,SAGE Open,1
Republican,New England Journal of Medicine,1
Republican,Journal of Sports Studies,1
Republican,Journal of Medical Ethics,1
Republican,Sociology of Sport Journal,1
Republican,Journal of Sport & Social Issues,1
Republican,Journal of Behavioral Medicine,1
Republican,International Review for the Sociology of Sport,1
Republican,"Sport, Education and Society",1
Republican,Journal of Psychosomatic Research,1
Republican,International Journal of Sport Policy and Politics,1
Republican,Sport in Society,1
Republican,JAMA,1
Republican,JAMA Pediatrics,1
Republican,Child Maltreatment,1
Republican,Frontiers in Psychology,1
Republican,Cochrane Database of Systematic Reviews,1
Republican,"European Journal of Investigation in Health, Psychology and Education",1
Republican,The Web Conference (WWW),1
Republican,Children,1
Republican,Stanford Internet Observatory (report),1
Republican,The British Journal of Criminology,1
Republican,Behavioral Sciences & the Law,1
Republican,Sexuality & Culture,1
Republican,Machine Vision and Applications,1
Republican,Pediatrics Open Science,1
Republican,Royal Society Open Science,1
Republican,Cybersecurity,1
Republican,EthAIca,1
Republican,Australian Institute of Criminology – Trends & Issues in Crime and Criminal Justice,1
Republican,ACM FAccT,1
Republican,Journal of Cybersecurity,1
Republican,Knowledge-Based Systems,1
Republican,Digital Threats: Research and Practice,1
Republican,"ACM Transactions on Multimedia Computing, Communications, and Applications",1
Republican,Frontiers in Pediatrics,1
Republican,Adolescent Research Review,1
Republican,Proceedings of the ACM International Workshop on Security and Privacy Analytics,1
Republican,Journal of Family and Child Health,1
Republican,New Media & Society,1
Republican,Digital Investigation,1
Republican,Computers in Human Behavior,1
Republican,Journal of Police and Criminal Psychology,1
Republican,Convergence,1
