source,term,count,rank
Democratic Assembly,ai,395,1
Democratic Assembly,bias,129,2
Democratic Assembly,fairness,123,3
Democratic Assembly,artificial intelligence,122,4
Democratic Assembly,algorithms,43,5
Democratic Assembly,genai,30,6
Democratic Assembly,generative ai,28,7
Democratic Assembly,algorithm,20,8
Democratic Assembly,automated decision,19,9
Democratic Assembly,facial recognition,13,10
Democratic Assembly,chatbot,11,11
Democratic Assembly,risk assessment,9,12
Democratic Assembly,automation,7,13
Democratic Assembly,openai,6,14
Democratic Assembly,chatgpt,4,15
Democratic Assembly,machine learning,2,16
Democratic Assembly,llm,1,17
Democratic Assembly,ml,1,18
Democratic Assembly,gpt-,1,19
Republican Assembly,fairness,45,1
Republican Assembly,ai,16,2
Republican Assembly,artificial intelligence,8,3
Republican Assembly,bias,8,4
Republican Assembly,gpt-,1,5
Republican Assembly,algorithms,1,6
Republican Assembly,automation,1,7
